text,episode,video_name,segment_id,frame_start,frame_end
緊緊擁抱 袋,1,Ave Mujica,32,3608,3612
"吶,真是耄無防備啊",1,Ave Mujica,33,3616,3664
在這美麗的遊戲中,1,Ave Mujica,34,3668,3724
人們開始逐漸崩壞,1,Ave Mujica,35,3728,3804
多麼可笑啊,1,Ave Mujica,36,3808,3840
多麼可笑吋,1,Ave Mujica,37,3844,3844
多麼可笑啊,1,Ave Mujica,38,3848,3856
#8 0,1,Ave Mujica,39,4052,4052
8 l0,1,Ave Mujica,40,4056,4056
8 ni0,1,Ave Mujica,41,4060,4060
8| 40l0,1,Ave Mujica,42,4064,4064
8| 4nl0=,1,Ave Mujica,43,4068,4068
&1 101,1,Ave Mujica,44,4072,4072
"cuz were all alone, alone",1,Ave Mujica,45,4092,4200
若緊咬牙關仍感覺到痛楚,1,Ave Mujica,46,4204,4300
就舉起手,1,Ave Mujica,47,4304,4416
乞求吧,1,Ave Mujica,48,4420,4512
"oh, when you bleed",1,Ave Mujica,49,4516,4544
將你的影子延伸至行星吧,1,Ave Mujica,50,4548,4628
"吶,我的世界正渴望知道答案啊,來吧",1,Ave Mujica,51,4632,4784
"you bleed,yes, bleed",1,Ave Mujica,52,4788,4836
若能用那血液重新改寫空中的五線譜,1,Ave Mujica,53,4840,4984
若能用霆,1,Ave Mujica,54,4988,4988
"code  KiLLKiSS uh..,",1,Ave Mujica,55,5000,5024
cade`環 _ _兀 E.oy,1,Ave Mujica,56,5028,5028
"code KiLLKiSS uh..,",1,Ave Mujica,57,5036,5044
"KiLLKiSS judy, KiLLKiSS judu, KiLLKissjuda",1,Ave Mujica,58,5048,5132
偽裝欺瞞,1,Ave Mujica,59,5136,5160
"KiLLKiSS judy, KiLLKiSSjudu  KiLLKiSSjuda",1,Ave Mujica,60,5164,5244
緊緊擁抱,1,Ave Mujica,61,5248,5280
"吶,真是再明顯不過",1,Ave Mujica,62,5284,5336
在這醜陋的終局中,1,Ave Mujica,63,5340,5392
一切都將逐漸改變,1,Ave Mujica,64,5396,5468
"多麼虛幻啊 $ """,1,Ave Mujica,65,5472,5504
多麼虛幻咐,1,Ave Mujica,66,5508,5512
多麼虛幻啊,1,Ave Mujica,67,5516,5520
"沒錯,就這麼毀壞吧",1,Ave Mujica,68,5580,5836
肌,1,Ave Mujica,69,5840,5840
),1,Ave Mujica,70,5988,5988
接下來各位觀眾即將觀賞的,1,Ave Mujica,71,6124,6168
是懷抱著祕密的,1,Ave Mujica,72,6228,6276
屬於她的故事,1,Ave Mujica,73,6280,6316
再五分鐘就要接受採訪了,1,Ave Mujica,74,6416,6448
"慘了,得快點補妝",1,Ave Mujica,75,6464,6516
不是會用面具遮住臉部嗎,1,Ave Mujica,76,6520,6556
就算看不到我也不想偷工減料啦,1,Ave Mujica,77,6560,6628
海子也不想看到偷工減料的 Nyamuchi吧? ;,1,Ave Mujica,78,6632,6708
"睦,採訪時間到了",1,Ave Mujica,79,6712,6756
我們先走了,1,Ave Mujica,80,6808,6832
等下等-下,1,Ave Mujica,81,6836,6836
等下等 下,1,Ave Mujica,82,6840,6840
等下等今下,1,Ave Mujica,83,6844,6844
等一下等=下,1,Ave Mujica,84,6848,6848
等-下等下,1,Ave Mujica,85,6852,6852
等一下等-下,1,Ave Mujica,86,6856,6860
我要補妝啦,1,Ave Mujica,87,6864,6904
~-~ 我們的使命,1,Ave Mujica,88,6916,6952
是讓觀眾們體驗夢境,1,Ave Mujica,89,6956,7028
下次武道館演出時,1,Ave Mujica,90,7032,7064
若各位也願意迷失於 Ave Mujica的世界,1,Ave Mujica,91,7068,7136
那將是我們的無上喜悅,1,Ave Mujica,92,7140,7180
能站上武道館真的好棒喔,1,Ave Mujica,93,7184,7236
畢竟我們也才剛出道不久,1,Ave Mujica,94,7240,7276
記得要強調是史上最快喔,1,Ave Mujica,95,7280,7360
好的,1,Ave Mujica,96,7364,7384
Mortis小姐有什麼感想呢?,1,Ave Mujica,97,7388,7428
我,1,Ave Mujica,98,7516,7540
如妳所見,1,Ave Mujica,99,7612,7632
Mortis的個性有些內向,1,Ave Mujica,100,7636,7692
"Mortis,講一下今天的感言",1,Ave Mujica,101,7696,7740
謝謝妳的採訪,1,Ave Mujica,102,7760,7796
祝夜晚愉快,1,Ave Mujica,103,7824,7848
劇照出爐要馬上傳過來喔,1,Ave Mujica,104,7852,7920
這樣總算全部...,1,Ave Mujica,105,7952,7980
在回休息室前先不要拿下來,1,Ave Mujica,106,7996,8052
難保不會有誰在偷看,1,Ave Mujica,107,8056,8096
妳怕會有人爆料嗎,1,Ave Mujica,108,8128,8164
Amoris的真實身分竟然是那個 Nya...,1,Ave Mujica,109,8168,8208
Amoris,1,Ave Mujica,110,8212,8232
_=1-11#118-_1[ 藤問 (Elements Garden 夕夕一 松本拓輝(7y口+|-y少夕) 七泰紀,1,Ave Mujica,111,8240,8240
日= / 1- L_)山Lo @1051 藤間 (Elements Garden 元4夕夕 松本拓輝(7y口-]1-沙夕) 札)過泰紀,1,Ave Mujica,112,8244,8244
日 苯 /= 1 口 Llt)thL5 @10tl 藤間 仁 (Elements Garden) 宁U夕夕一 松本拓輝(7汐口-|31-汐夕) 札)達泰紀,1,Ave Mujica,113,8248,8276
日 苯 /=11- Llt)_山L5 @1@1 藤間 仁 (Elements Garden) 宁/U夕夕一 松本 枇本難道我們以後都得一直戴著面具嗎,1,Ave Mujica,114,8280,8348
日= /45 1= _=13@@1 藤間 (Elements Garden 74夕夕 松本 札)迂 難道我們以後都得一直戴著面具嗎,1,Ave Mujica,115,8352,8352
難道我們以後都得一直戴著面具嗎,1,Ave Mujica,116,8356,8372
yy)o宁 一+-/保住昇汰,1,Ave Mujica,117,8380,8380
汐曰yJ口宁_一+- 保住昇汰,1,Ave Mujica,118,8384,8392
y1口宁_一+- 保住昇汰 這樣很糟蹋臉蛋和數字耶,1,Ave Mujica,119,8396,8436
y` 1 少-[保住昇汰 這樣很糟蹋臉蛋和數字耶,1,Ave Mujica,120,8440,8440
這樣很糟蹋臉蛋和數字耶,1,Ave Mujica,121,8444,8448
了二)-y1y制作 +`汾`,1,Ave Mujica,122,8456,8456
了二人y+y制作 迂y`y,1,Ave Mujica,123,8460,8524
了=人-y1y制作 +`汾`,1,Ave Mujica,124,8528,8528
了=人-y1y制作 +`汾` Sumimi的初華,1,Ave Mujica,125,8532,8548
了二)-y1y制作 坎3321` Sumimi的初華,1,Ave Mujica,126,8552,8552
Sumimi的初華,1,Ave Mujica,127,8556,8564
制作協力 況忖萸祐 荒井瑞希 仄測1`y 資深搞笑藝人若葉,1,Ave Mujica,128,8568,8604
制作協力 況村英祐 荒1瑙畜 炭演技派女演員森美奈美的女兒,1,Ave Mujica,129,8608,8660
只要摘下面具 ( 就能牢牢抓住大眾的眼光了喔?,1,Ave Mujica,130,8664,8768
Ave Mujica不會那樣自貶身價,1,Ave Mujica,131,8772,8828
我們要先累積成果,1,Ave Mujica,132,8836,8872
取得音樂方面的評價,1,Ave Mujica,133,8876,8892
"昨天還很喜歡,今天就膩了",1,Ave Mujica,134,8896,8972
世間可是很殘酷的,1,Ave Mujica,135,9008,9052
繼續拖拉下去觀眾也許會先厭倦喔?,1,Ave Mujica,136,9056,9116
我不打算讓這樂團成為婁花一現的流行,1,Ave Mujica,137,9144,9244
我不是說過了嗎,1,Ave Mujica,138,9260,9288
"靖把妳剩餘的人生交給我""",1,Ave Mujica,139,9292,9356
要摘下面具,1,Ave Mujica,140,9456,9456
木)7口介y夕才少才 力)卜5久-)-匕夕于+ 入 OBanG Dream! Project 要摘下面具,1,Ave Mujica,141,9460,9496
卞)7口9`夕-+沙才川 力)卜5久-)8-匕夕于+一入 OBanG Dream! Pr 必須選在最棒的舞台及最佳的時機,1,Ave Mujica,142,9500,9564
卞)7=才 =0 hv|577`-匕 于+-入 OBanG Dream! 必須選在最棒的舞台及最佳的時機,1,Ave Mujica,143,9568,9568
必須選在最棒的舞台及最佳的時機,1,Ave Mujica,144,9572,9580
我剛才覺得好感動喔,1,Ave Mujica,145,9636,9680
妳真的很重視Ave Mujica呢,1,Ave Mujica,146,9700,9792
這是當然的,1,Ave Mujica,147,9796,9836
因為我背負著大家的人生啊,1,Ave Mujica,148,9840,9864
@mh tosa 因為我背負著大家的人生啊,1,Ave Mujica,149,9868,9888
跑祕密) Onb rosa 才剛出道就變得這麼受歡迎,1,Ave Mujica,150,9892,9968
小祥果然很厲害呢,1,Ave Mujica,151,9972,10012
這全是託初華的福,1,Ave Mujica,152,10016,10052
作為Ave Mujica的主唱,1,Ave Mujica,153,10064,10100
我認為沒有人比妳更適合了,1,Ave Mujica,154,10104,10148
8,1,Ave Mujica,155,10152,10152
組樂團?,1,Ave Mujica,156,10188,10208
"對,而且是以商業出道",1,Ave Mujica,157,10220,10280
我知道了 0 可以啊,1,Ave Mujica,158,10344,10384
真的嗎,1,Ave Mujica,159,10396,10420
我都還沒說明啊,1,Ave Mujica,160,10424,10452
因為這是小祥的請求啊,1,Ave Mujica,161,10456,10496
妳真的什麼都不打算問嗎,1,Ave Mujica,162,10548,10624
妳一定是會被慫恿買水晶的那種人吧,1,Ave Mujica,163,10672,10760
好過分喔,1,Ave Mujica,164,10776,10808
雖然隸屬於同一間經紀公司,1,Ave Mujica,165,10812,10844
但同時進行Sumimi的活動一定很辛苦吧,1,Ave Mujica,166,10848,10916
我會盡可能不造成妳太多負擔的,1,Ave Mujica,167,10920,10956
這一點也不算是負擔喔,1,Ave Mujica,168,10960,10996
反而讓我能轉換心情,1,Ave Mujica,169,11000,11056
不對,1,Ave Mujica,170,11140,11156
是因為我想和小祥永遠在起的願望,1,Ave Mujica,171,11212,11308
現在終於實現了,1,Ave Mujica,172,11320,11348
初華,1,Ave Mujica,173,11364,11384
(赤羽警察署) 俠電中),1,Ave Mujica,174,11448,11492
工作的電話?,1,Ave Mujica,175,11500,11524
"對,初華,下次見",1,Ave Mujica,176,11528,11564
我是豐川,1,Ave Mujica,177,11612,11636
-犯乙頗你人久 學生 豐川祥子 這個麻煩您了,1,Ave Mujica,178,11700,11744
他又醉倒在巷子裡了,1,Ave Mujica,179,11756,11808
家父再製造麻煩,1,Ave Mujica,180,11824,11868
實在是非常抱歉,1,Ave Mujica,181,11872,11900
苑,1,Ave Mujica,182,11992,12064
苑 甕爸爸,1,Ave Mujica,183,12068,12080
苑 頸爸爸,1,Ave Mujica,184,12084,12084
苑 甕爸爸,1,Ave Mujica,185,12088,12088
我看我還是消失比較好,1,Ave Mujica,186,12136,12184
9,1,Ave Mujica,187,12196,12196
oo00,1,Ave Mujica,188,12200,12200
0o00,1,Ave Mujica,189,12204,12208
0000,1,Ave Mujica,190,12212,12212
別說這種莫名其妙的話,1,Ave Mujica,191,12260,12316
"好了,振作 點",1,Ave Mujica,192,12320,12348
我們回去吧,1,Ave Mujica,193,12352,12376
武道館演出前要完成四首歌,1,Ave Mujica,194,12760,12800
考慮到初華作詞的時間,1,Ave Mujica,195,12804,12856
週末前至少得準備好兩首歌,1,Ave Mujica,196,12860,12928
妳彈得好棒喔,1,Ave Mujica,197,13192,13232
因為媽媽很喜歡這首歌,1,Ave Mujica,198,13236,13276
所以我練習了很多次喔,1,Ave Mujica,199,13280,13316
我下次會找睦一起...,1,Ave Mujica,200,13320,13356
怎麼了?,1,Ave Mujica,201,13380,13400
沒什麼,1,Ave Mujica,202,13404,13432
在媽媽生日之前我不能說,1,Ave Mujica,203,13436,13500
"瑞穗,祥子",1,Ave Mujica,204,13524,13564
我回來了,1,Ave Mujica,205,13568,13588
爸爸,1,Ave Mujica,206,13592,13612
歡迎你回來,1,Ave Mujica,207,13628,13652
工作還順利嗎,1,Ave Mujica,208,13656,13688
今天又被岳父臭罵了一頓,1,Ave Mujica,209,13712,13756
他還說這樣別說是公司,1,Ave Mujica,210,13760,13796
連寶貝女兒也不能交給我了,1,Ave Mujica,211,13800,13848
他也是因為想栽培清告才會這麼嚴厲,1,Ave Mujica,212,13864,13940
不會有事的,1,Ave Mujica,213,13952,13972
你的美德就是真誠,1,Ave Mujica,214,13976,14028
"瑞穗,怎麼會這麼快就-",1,Ave Mujica,215,14096,14160
"不過,聽說她已經算撐得很久了",1,Ave Mujica,216,14176,14232
媽媽...,1,Ave Mujica,217,14652,14680
祥子,1,Ave Mujica,218,14828,14852
爸爸會好好努力的,1,Ave Mujica,219,14868,14924
下午就要舉行音樂祭了,1,Ave Mujica,220,14996,15056
請大家往講堂移動吧,1,Ave Mujica,221,15060,15100
好的,1,Ave Mujica,222,15104,15128
祥,1,Ave Mujica,223,15284,15304
該走了,1,Ave Mujica,224,15324,15344
好,1,Ave Mujica,225,15392,15412
謝謝大家,1,Ave Mujica,226,15592,15628
我們是 Morfonica,1,Ave Mujica,227,15632,15716
她們是月之森第一個組樂團的高中部學姊,1,Ave Mujica,228,15720,15824
樂團,1,Ave Mujica,229,15828,15852
睦,1,Ave Mujica,230,15872,15888
眭,1,Ave Mujica,231,15892,15892
我們也來組樂團吧,1,Ave Mujica,232,15896,15952
我是說樂團啊,1,Ave Mujica,233,15956,15996
長崎爽世同學感覺很好相處,1,Ave Mujica,234,16044,16100
真是太好了,1,Ave Mujica,235,16104,16132
再來是 00,1,Ave Mujica,236,16136,16136
再來是%,1,Ave Mujica,237,16140,16160
布可以,1,Ave Mujica,238,16288,16312
我為撞倒妳的事向妳道歉,1,Ave Mujica,239,16352,16388
但是妳不可以死,1,Ave Mujica,240,16392,16428
從今以後我們就是樂團,1,Ave Mujica,241,16484,16528
一起共同演奏音樂的命運共同體了,1,Ave Mujica,242,16540,16632
// {0 ///,1,Ave Mujica,243,16640,16640
/(4~0 /]/,1,Ave Mujica,244,16644,16644
`/( 4~01/`/~/)/,1,Ave Mujica,245,16648,16648
~7~011|// 這是我第次寫歌詞,1,Ave Mujica,246,16652,16652
`+`67<01 /`/~/) /- 這是我第次寫歌詞,1,Ave Mujica,247,16656,16660
入+`乙3<01 1`/(// /- 這是我第次寫歌詞,1,Ave Mujica,248,16664,16664
7+_10117/~///- 這是我第次寫歌詞,1,Ave Mujica,249,16668,16672
久+`乙永0)祇//- 這是我第次寫歌詞,1,Ave Mujica,250,16676,16684
久+`乞永@V/- 這是我第次寫歌詞,1,Ave Mujica,251,16688,16688
久v`乞永@綻71 這是我第次寫歌詞,1,Ave Mujica,252,16692,16692
汝v`乞永0統T1 這是我第次寫歌詞,1,Ave Mujica,253,16696,16696
次v乞末@*宁下 這是我第次寫歌詞,1,Ave Mujica,254,16700,16704
豊廿t想仰# SANZI 那之前那些呢?,1,Ave Mujica,255,16708,16720
豊力謄想僧士 SANZI 那之前那些呢?,1,Ave Mujica,256,16724,16740
豊力t想像力專奈廿 SANZI 那個.,1,Ave Mujica,257,16744,16760
"豊力t棋偕士 SANZI 我看得出來,這是%",1,Ave Mujica,258,16764,16824
豊力壇想像力奄育t SANZI,1,Ave Mujica,259,16828,16832
"月待寸5#.t1;.'`511`,1`_1",1,Ave Mujica,260,16836,16836
"月待15*;t1;.'`L11`,11",1,Ave Mujica,261,16840,16852
"月待15#_.|t1;|'`L11`,1/`1",1,Ave Mujica,262,16856,16860
"待#51.|心1|`L12`,1~`1",1,Ave Mujica,263,16864,16864
"待寸5t(t1|`L1`,1`1",1,Ave Mujica,264,16868,16868
"苻才5 [春日影@ 春日影% 心^)`,7+'({",1,Ave Mujica,265,16872,16872
"待寸左春日影@ 春日影% _1`,1`<",1,Ave Mujica,266,16876,16888
"待寸3左(*春日影 春日影@ _1`,1.1",1,Ave Mujica,267,16892,16896
"7| V _1`,1{ ]待寸3 b* 春日影%",1,Ave Mujica,268,16900,16900
是關於我們的歌吧,1,Ave Mujica,269,16920,16968
爸爸呢?,1,Ave Mujica,270,17340,17364
這傢伙根本什麼也不懂,1,Ave Mujica,271,17384,17404
+ 我要封鎖他,1,Ave Mujica,272,17408,17428
立希,1,Ave Mujica,273,17432,17452
消音就好了 9 不要封鎖吧,1,Ave Mujica,274,17456,17496
不過大多數的人都在誇獎我們喔,1,Ave Mujica,275,17516,17584
小祥?,1,Ave Mujica,276,17692,17720
爺爺,1,Ave Mujica,277,17832,17856
爸爸在哪裡? 你應該知道吧?,1,Ave Mujica,278,17872,17928
那傢伙已經不是豐川家的人了,1,Ave Mujica,279,17932,18000
他因為讓公司遭到詐騙引咎辭職了,1,Ave Mujica,280,18004,18076
詐騙?,1,Ave Mujica,281,18088,18108
他造成了168億的損失,1,Ave Mujica,282,18124,18176
怎麼會,1,Ave Mujica,283,18208,18232
只能說妳運氣不好,1,Ave Mujica,284,18244,18276
運氣?,1,Ave Mujica,285,18280,18300
"忘了妳父親,成為我的女兒吧",1,Ave Mujica,286,18320,18408
妳是瑞穗的遺孤,1,Ave Mujica,287,18412,18456
我不希望妳過苦日子,1,Ave Mujica,288,18460,18492
祥子,1,Ave Mujica,289,18576,18596
妳這種溫室長大的孩子 打算怎麼在外討生活?,1,Ave Mujica,290,18612,18680
至少要將媽媽留下的這個,1,Ave Mujica,291,18704,18764
再見了,1,Ave Mujica,292,18888,18912
就是這裡嗎,1,Ave Mujica,293,19064,19112
爸爸?,1,Ave Mujica,294,19220,19244
爸爸? 08,1,Ave Mujica,295,19248,19248
爸爸?,1,Ave Mujica,296,19252,19252
_{57= 0,1,Ave Mujica,297,19276,19284
0{5= 0,1,Ave Mujica,298,19288,19288
{57* 0,1,Ave Mujica,299,19292,19312
{* 0,1,Ave Mujica,300,19316,19316
{5= 0,1,Ave Mujica,301,19320,19320
0{7= 0,1,Ave Mujica,302,19324,19324
{5= 0,1,Ave Mujica,303,19328,19328
{5= U,1,Ave Mujica,304,19332,19332
{5= 0,1,Ave Mujica,305,19336,19340
0{7* U V,1,Ave Mujica,306,19344,19344
{57 U,1,Ave Mujica,307,19348,19348
/5 0,1,Ave Mujica,308,19352,19352
C 0,1,Ave Mujica,309,19356,19372
C 0 V,1,Ave Mujica,310,19376,19376
爸爸,1,Ave Mujica,311,19412,19432
"爸爸,振作一點",1,Ave Mujica,312,19436,19472
03`,1,Ave Mujica,313,19700,19700
0,1,Ave Mujica,314,19708,19716
卜,1,Ave Mujica,315,19756,19756
0(,1,Ave Mujica,316,19764,19764
(,1,Ave Mujica,317,19768,19768
V,1,Ave Mujica,318,19772,19772
中生?,1,Ave Mujica,319,19944,19972
是的,1,Ave Mujica,320,19992,20024
我們不能雇用國中生,1,Ave Mujica,321,20028,20076
其他地方也沒雇用妳吧,1,Ave Mujica,322,20080,20124
是的,1,Ave Mujica,323,20136,20156
我只有找到送報的工作,1,Ave Mujica,324,20172,20228
妳的父母呢?,1,Ave Mujica,325,20240,20272
這,1,Ave Mujica,326,20304,20328
7 伍 .07 背景複雜的人恐怕... 0)35 47 113+ 1 00 723,1,Ave Mujica,327,20340,20392
言5 2= 1 $ %8 五_ 耳 29 二 11 0+1101 11110)1)17 1 5) 丸蠡{# 1 00 8-723 3 0 0/58-|24-07 吋R f3口舀 #3+,1,Ave Mujica,328,20396,20404
收入實在太少了,1,Ave Mujica,329,20480,20536
這樣根本,1,Ave Mujica,330,20540,20540
這樣根本 71,1,Ave Mujica,331,20544,20548
這樣根本...,1,Ave Mujica,332,20552,20564
妳真的要離開了嗎,1,Ave Mujica,333,20620,20660
"睦,妳知道嗎",1,Ave Mujica,334,20672,20708
月之森的學費非常昂貴喔,1,Ave Mujica,335,20712,20776
那CRYCHIC呢?,1,Ave Mujica,336,20792,20820
我會想辦法抽空參加的,1,Ave Mujica,337,20892,20948
先不要告訴任何人,1,Ave Mujica,338,20952,20988
現在還來得及過去,1,Ave Mujica,339,21036,21080
俠世(天有辦法來嗎3,1,Ave Mujica,340,21096,21124
爽世,1,Ave Mujica,341,21128,21160
"仡前真的很抱歉,我今天可以去了 儿 CLl_",1,Ave Mujica,342,21192,21224
(來電中),1,Ave Mujica,343,21228,21252
你好,1,Ave Mujica,344,21356,21372
為什麼要喝成這樣,1,Ave Mujica,345,21536,21576
祥子,1,Ave Mujica,346,21580,21608
爸爸會好好努力的,1,Ave Mujica,347,21620,21668
爸爸,1,Ave Mujica,348,21704,21732
"(前真的很抱歉,我今天可以去了 士`圭廿斤C",1,Ave Mujica,349,21820,21892
%,1,Ave Mujica,350,21896,21900
6 0,1,Ave Mujica,351,21904,21904
:,1,Ave Mujica,352,21908,21908
6 6,1,Ave Mujica,353,21912,21912
6 8,1,Ave Mujica,354,21916,21916
:,1,Ave Mujica,355,21920,22008
8,1,Ave Mujica,356,22012,22012
我要退出CRYCHIC,1,Ave Mujica,357,22304,22380
之前的演唱會不是很快樂嗎,1,Ave Mujica,358,22492,22552
妳也說過還想再辦一次吧,1,Ave Mujica,359,22556,22608
燈就是在等妳來啊,1,Ave Mujica,360,22688,22736
妳真的要退出了嗎,1,Ave Mujica,361,22820,22880
池袋 eHOlCE,1,Ave Mujica,362,22896,22908
池袋 AHOICE,1,Ave Mujica,363,22912,22920
池袋 G0l0E,1,Ave Mujica,364,22924,22940
池瑩 0E,1,Ave Mujica,365,22944,22944
池f CE,1,Ave Mujica,366,22948,22952
池# OE,1,Ave Mujica,367,22956,22956
池+ eE,1,Ave Mujica,368,22960,22960
池# E,1,Ave Mujica,369,22964,22964
沁 E,1,Ave Mujica,370,22968,22968
0~  {,1,Ave Mujica,371,22972,22972
^ :,1,Ave Mujica,372,22976,22976
%8,1,Ave Mujica,373,22980,22980
/147,1,Ave Mujica,374,23144,23144
7|74,1,Ave Mujica,375,23148,23148
八,1,Ave Mujica,376,23156,23156
/,1,Ave Mujica,377,23160,23160
妳有在蒐集便利貼啊,1,Ave Mujica,378,23196,23228
因為可以將字句排在一起看,1,Ave Mujica,379,23244,23292
"我家也有些沒在用的,妳要嗎",1,Ave Mujica,380,23336,23396
拿到門票了 0 真是奇蹟,1,Ave Mujica,381,23460,23516
吵卜0$支扎[+.書取U引芒|二閱寸石二案內谷匕|t,1,Ave Mujica,382,23528,23540
吵卜0書支扎[|.書取U引芒什麼?石二案內t匕[t,1,Ave Mujica,383,23544,23560
1^)r名 Ave Mujica 會場 Ave Mvecuire舞餾項 啊 octis,1,Ave Mujica,384,23564,23564
申必受付番號: 493762830 [當選Ae Mujica的武道館面具舞會的門票啊,1,Ave Mujica,385,23568,23568
C Ave Mujica的武道館面具舞會的閂票啊 柵選0結果 誠|二bb力 于勺` 卜力二用意飛芒圭L 古名前力十,1,Ave Mujica,386,23572,23572
Ave Mujica的武道館面具舞會的門票啊,1,Ave Mujica,387,23576,23584
儿H匠) 3iif Ave Mujica的武道館面具舞會的門票啊 +丁* 031# `引 T U心寸二 %<ft.` 二左內t匕i 150,1,Ave Mujica,388,23588,23588
Ave Mujica的武道館面具舞會的門票 于丁* 011 芍皿!引芒|_|寸 下idR+ 4)心T二n虫<f芒.`. 二丟四t匕l1 =nttps|ticie 啊 1710153210,1,Ave Mujica,389,23592,23592
Ave Mujica的武道館面具舞會的門票啊 +丁* 011 1)引= FidRi +)2+_ty< E# 芒[`. =httos*|tickel0( 01570,1,Ave Mujica,390,23596,23604
"61址1"" 下idRs Ave Mujica的武道館面具舞會的門票啊 皿1= 1 1E1# 1 0",1,Ave Mujica,391,23608,23608
7* Ave Mujica的武道館面具舞會的門票啊 0 11)|= FialRi 山必+二阽起< s 1_芒`. =httpsiiticheforever. 110153220,1,Ave Mujica,392,23612,23612
Ave Mujica的武道館面具舞會的門票啊 +丁* 01 )引= 下iaPi 1心+二w<f芒t`. 3=kmt匕it shtfositic efor 01520,1,Ave Mujica,393,23616,23616
Ave Mujica的武道館面具舞會的門票啊 1 FtaRr +)2+_#12< [1| fa`. 10037101720,1,Ave Mujica,394,23620,23620
"+丁"" Ave Mujica的武道館面具舞會的門票 03 1= FtalRs 1 # =ntps ||tic ofote 0153220 啊",1,Ave Mujica,395,23624,23624
Ave Mujica的武道館面具舞會的門票啊 +丁* F0s支#` )引= FiaRi 心+二時起< P i芒[`. =nttps tichelot 10151770,1,Ave Mujica,396,23628,23628
7* Ave Mujica的武道館面具舞會的門票啊 01331 1=1 FtalRs 4)2+二#2< 5=Tmttit = =nttosticheforower. 01220,1,Ave Mujica,397,23632,23632
Ave Mujica的武道館面具舞會的門票啊 踊3131[11111 FuRi 361 =nttpsiticheforeverip| 1013770,1,Ave Mujica,398,23636,23636
因為中籤率超低的,1,Ave Mujica,399,23640,23676
我還以為沒希望了呢,1,Ave Mujica,400,23680,23720
那真是太好了,1,Ave Mujica,401,23736,23760
那個Amoris絕對是 Nyamuchi啦,1,Ave Mujica,402,23764,23816
Wyamuchi是指那個 Nyamuchi?,1,Ave Mujica,403,23820,23868
聲音完全就是 Nyamuchi,1,Ave Mujica,404,23872,23896
她在之前的影片裡也一直暗示,1,Ave Mujica,405,23900,23948
有這回事嗎,1,Ave Mujica,406,23952,23976
妳只要看過就知道了啦,1,Ave Mujica,407,23980,24016
"起去吧, Tomorin",1,Ave Mujica,408,24044,24068
Ave Mujica的面具舞會,1,Ave Mujica,409,24072,24108
我這裡有兩張門票,1,Ave Mujica,410,24112,24132
"小燈,妳不是很怕去人多的地方嗎",1,Ave Mujica,411,24136,24208
MyGo!!!!!以後或許 也會在很大的場地辦演唱會喔?,1,Ave Mujica,412,24236,24304
趁現在先習慣一下比較好啦,1,Ave Mujica,413,24308,24356
走開,1,Ave Mujica,414,24360,24376
妳講話很大聲耶,1,Ave Mujica,415,24392,24432
"Rikki,妳要去嗎",1,Ave Mujica,416,24436,24460
=}8,1,Ave Mujica,417,24464,24464
F0,1,Ave Mujica,418,24468,24468
;,1,Ave Mujica,419,24472,24472
謝謝,1,Ave Mujica,420,24480,24492
謝謝...,1,Ave Mujica,421,24496,24500
我沒興趣,1,Ave Mujica,422,24504,24516
